year,group,persons,kind,source,source_url,notes
2024,0-19,1244282,projection_MMMM_baseyear,SSB tabell 14288 hovedalternativet MMMM,https://www.ssb.no/statbank/table/14288,2024 er startåret i 2024-framskrivingen
2024,65+,1036168,projection_MMMM_baseyear,SSB tabell 14288 hovedalternativet MMMM,https://www.ssb.no/statbank/table/14288,
2031,0-19,1201574,projection_MMMM,SSB tabell 14288 hovedalternativet MMMM,https://www.ssb.no/statbank/table/14288,SSB: første år med flere 65+ enn 0-19
2031,65+,1205563,projection_MMMM,SSB tabell 14288 hovedalternativet MMMM,https://www.ssb.no/statbank/table/14288,65+ > 0-19
2040,0-19,1197671,projection_MMMM,SSB tabell 14288 hovedalternativet MMMM,https://www.ssb.no/statbank/table/14288,
2040,65+,1427195,projection_MMMM,SSB tabell 14288 hovedalternativet MMMM,https://www.ssb.no/statbank/table/14288,
2050,0-19,1220283,projection_MMMM,SSB tabell 14288 hovedalternativet MMMM,https://www.ssb.no/statbank/table/14288,
2050,65+,1577551,projection_MMMM,SSB tabell 14288 hovedalternativet MMMM,https://www.ssb.no/statbank/table/14288,SSB-artikkel: ca. 1 av 5 er 70+ i 2050
